SUM of Total Inmates in Census since 1997,,,288697,,,,,,,
DMAX number of Inmates Sentenced since 1997,,,573,,,,,,,
DAVERAGE number of Inmates in Census in 2014,,,247.8085837,,,,,,,
DVARP of Other Unsentenced Inmates since 1997,,,318.0657297,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Facility Name,Year,Census,Sentenced,Civil,Federal,Technical Parole Violators,State Readies,Other Unsentenced,Boarded Out,Boarded In
Tioga County Penitentiary,2009,80,30,2,15,3,1,29,0,5
Tompkins County Penitentiary,2009,73,28,0,0,2,1,41,7,0
Ulster County Penitentiary,2009,297,92,0,16,23,5,162,0,51
Warren County Penitentiary,2009,147,32,5,0,6,2,101,0,20
Washington County Penitentiary,2009,111,28,2,17,8,2,55,0,7
Wayne County Penitentiary,2009,114,39,0,7,6,2,58,8,8
Westchester Annex,2009,0,0,0,0,0,0,0,0,0
Westchester Penitentiary,2009,772,133,0,123,31,8,477,24,7
Westchester Pen,2009,608,224,0,1,26,4,352,1,1
Wyoming County Penitentiary,2009,57,21,0,0,3,1,33,0,3
Yates County Penitentiary,2009,48,13,0,12,2,1,20,0,1
Albany County Penitentiary,2008,687,127,0,84,54,17,404,0,4
Allegany County Penitentiary,2008,118,12,1,65,0,0,39,0,1
Broome County Penitentiary,2008,430,87,0,30,15,4,293,1,1
Cattaraugus County Penitentiary,2008,105,36,0,11,5,1,51,0,1
Cayuga County Penitentiary,2008,177,55,0,39,4,2,76,1,0
Chautauqua County Penitentiary,2008,260,48,0,49,8,2,153,0,0
Chemung County Penitentiary,2008,177,72,0,0,20,2,84,0,0
Chenango County Penitentiary,2008,86,40,3,7,3,0,33,0,24
Clinton County Penitentiary,2008,208,64,2,36,7,2,97,0,21
Columbia County Penitentiary,2008,107,17,2,1,5,1,80,0,15
Cortland County Penitentiary,2008,51,20,2,0,2,1,27,3,0
Delaware County Penitentiary,2008,72,26,2,6,5,0,33,0,7
Dutchess County Penitentiary,2008,250,44,9,0,10,2,184,78,1
Erie County Correctional Facility,2008,864,507,0,0,59,0,298,0,0
Erie County Penitentiary,2008,477,26,1,14,13,8,415,0,0
Erie County Yankee Compound,2008,0,0,0,0,0,0,0,0,0
Essex County Penitentiary,2008,38,17,0,2,1,1,17,0,4
Essex County Sheriff,2008,19,11,0,0,1,0,7,0,0
Franklin County Penitentiary,2008,101,47,1,0,3,1,49,1,0
Fulton County Penitentiary,2008,81,19,3,0,4,1,53,0,9
Genesee County Penitentiary,2008,72,24,1,4,7,1,35,6,2
Greene County Penitentiary,2008,50,13,2,0,5,1,30,11,0
Hamilton County Penitentiary,2008,3,1,0,0,0,0,2,0,0
Herkimer County Penitentiary,2008,31,6,1,0,1,1,22,32,0
Jefferson County Penitentiary,2008,133,34,2,4,6,1,86,1,0
Lewis County Penitentiary,2008,31,6,0,4,1,0,20,1,0
Livingston County Penitentiary,2008,83,29,0,0,5,1,47,11,1
Madison County Penitentiary,2008,93,37,4,14,2,0,36,5,2
Monroe County Correctional Facility,2008,324,264,1,4,2,1,53,0,7
Monroe County Penitentiary,2008,1022,180,1,66,70,24,681,1,4
Montgomery County Penitentiary,2008,108,24,3,12,5,3,61,0,7
Nassau County Correctional Facility,2008,1576,268,2,136,18,12,1140,6,11
Niagara County Penitentiary,2008,454,123,0,93,28,19,190,1,1
Oneida County Penitentiary,2008,440,138,0,25,11,5,261,2,37
Onondaga County Correctional Facility,2008,455,330,7,58,57,0,3,18,1
Onondaga County Penitentiary,2008,589,20,4,11,2,12,540,0,28
Ontario County Penitentiary,2008,200,77,0,10,10,4,98,0,1
Orange County Penitentiary,2008,535,121,17,39,42,10,306,1,16
Orleans County Penitentiary,2008,73,19,0,0,4,0,49,4,5
Oswego County Penitentiary,2008,120,48,0,0,8,2,62,1,0
Otsego County Penitentiary,2008,61,23,0,0,1,1,37,0,0
Putnam County Penitentiary,2008,106,19,2,17,1,0,67,2,2
Rensselaer County Penitentiary,2008,226,98,6,1,21,3,97,10,0
Rockland County Penitentiary,2008,241,58,0,1,15,2,165,3,4
Saratoga County Penitentiary,2008,156,53,4,0,6,1,92,0,0
Schenectady County Penitentiary,2008,308,55,4,5,24,5,215,2,0
Schoharie County Penitentiary,2008,43,11,1,14,2,0,15,2,10
Schuyler County Penitentiary,2008,17,9,0,0,1,0,7,0,0
Seneca County Penitentiary,2008,53,18,0,0,2,0,33,0,0
Steuben County Penitentiary,2008,183,41,1,44,10,1,86,1,0
St Lawrence County Penitentiary,2008,76,21,0,0,5,1,48,25,0
Suffolk Correctional Facility - Riverhead,2008,1021,273,7,0,37,27,676,46,8
Suffolk Correctional Facility - Yaphank,2008,608,217,5,0,28,0,357,0,0
Sullivan County Penitentiary,2008,178,42,0,0,12,2,121,14,0
Tioga County Penitentiary,2008,79,34,1,11,4,1,27,0,4
Tompkins County Penitentiary,2008,68,30,0,0,3,1,33,12,0
Ulster County Penitentiary,2008,304,91,0,7,22,3,181,0,39
Warren County Penitentiary,2008,147,40,3,0,8,1,95,0,10
Washington County Penitentiary,2008,119,24,2,31,8,1,53,0,15
Wayne County Penitentiary,2008,136,47,0,18,9,3,59,6,18
Westchester Annex,2008,32,3,0,1,3,0,25,0,0
Westchester Penitentiary,2008,793,158,0,114,35,10,477,25,7
Westchester Pen,2008,618,249,0,1,30,6,332,3,0
Wyoming County Penitentiary,2008,58,20,0,0,5,1,32,1,1
Yates County Penitentiary,2008,43,13,0,8,2,1,18,1,0
Albany County Penitentiary,2007,747,140,0,93,42,19,453,0,23
Allegany County Penitentiary,2007,63,10,1,15,1,0,37,0,0
Broome County Penitentiary,2007,448,103,0,30,16,7,290,2,1
Cattaraugus County Penitentiary,2007,119,42,0,19,5,2,51,0,0
Cayuga County Penitentiary,2007,174,66,0,36,5,1,66,0,2
Chautauqua County Penitentiary,2007,253,60,0,32,8,3,150,0,0
Chemung County Penitentiary,2007,190,69,0,0,19,2,99,0,1
Chenango County Penitentiary,2007,75,36,2,4,2,1,29,0,16
Clinton County Penitentiary,2007,216,64,3,43,7,1,97,0,34
Columbia County Penitentiary,2007,117,17,3,0,5,1,90,0,21
Cortland County Penitentiary,2007,62,25,2,0,1,1,33,2,0
Delaware County Penitentiary,2007,68,23,3,4,4,1,34,0,12
Dutchess County Penitentiary,2007,249,60,8,1,12,2,166,61,0
Erie County Correctional Facility,2007,914,459,0,0,22,0,433,0,0
Erie County Penitentiary,2007,552,32,1,51,60,9,399,0,0
Erie County Yankee Compound,2007,0,0,0,0,0,0,0,0,0
Essex County Penitentiary,2007,21,9,0,0,1,1,10,16,0
Essex County Sheriff,2007,25,13,0,0,2,1,9,0,0
Franklin County Penitentiary,2007,99,38,2,0,3,1,55,3,0
Fulton County Penitentiary,2007,85,24,3,0,5,1,52,0,7
Genesee County Penitentiary,2007,73,23,0,7,6,1,36,9,1
Greene County Penitentiary,2007,46,11,2,0,3,0,30,19,0
Hamilton County Penitentiary,2007,5,2,0,0,0,0,3,1,0
Herkimer County Penitentiary,2007,32,6,1,0,1,1,23,28,0
Jefferson County Penitentiary,2007,144,34,2,0,5,4,98,13,1
Lewis County Penitentiary,2007,33,7,0,5,0,1,20,1,1
Livingston County Penitentiary,2007,91,29,0,0,6,2,54,21,3
Madison County Penitentiary,2007,94,36,3,18,3,0,34,3,4
Monroe County Correctional Facility,2007,356,292,1,2,5,1,54,0,8
Monroe County Penitentiary,2007,1040,168,0,63,100,23,687,3,10
Montgomery County Penitentiary,2007,127,20,3,26,5,2,71,0,6
Nassau County Correctional Facility,2007,1689,293,2,159,35,17,1184,4,19
Niagara County Penitentiary,2007,454,169,0,74,29,8,174,0,1
Oneida County Penitentiary,2007,456,148,0,23,20,6,259,2,41
Onondaga County Correctional Facility,2007,449,340,4,59,67,0,-21,29,1
Onondaga County Penitentiary,2007,551,16,2,19,3,9,503,1,33
Ontario County Penitentiary,2007,218,86,0,8,9,4,111,0,3
Orange County Penitentiary,2007,565,140,12,1,58,9,346,1,46
Orleans County Penitentiary,2007,74,17,0,0,2,0,54,1,9
Oswego County Penitentiary,2007,133,49,0,0,11,2,71,0,1
Otsego County Penitentiary,2007,63,25,0,0,1,1,36,0,0
Putnam County Penitentiary,2007,99,16,2,23,1,1,56,0,8
Rensselaer County Penitentiary,2007,246,86,8,2,26,4,120,36,0
Rockland County Penitentiary,2007,246,63,0,0,16,3,164,4,2
Saratoga County Penitentiary,2007,150,50,8,0,10,2,82,0,0
Schenectady County Penitentiary,2007,316,63,4,2,25,6,217,4,0
Schoharie County Penitentiary,2007,47,14,1,13,1,1,17,2,17
Schuyler County Penitentiary,2007,21,11,0,0,2,0,8,2,0
Seneca County Penitentiary,2007,50,21,0,0,3,0,26,5,0
Steuben County Penitentiary,2007,141,37,0,7,17,2,79,1,1
St Lawrence County Penitentiary,2007,79,21,0,0,5,2,51,27,0
Suffolk Correctional Facility - Riverhead,2007,962,228,6,2,56,32,637,159,7
Suffolk Correctional Facility - Yaphank,2007,616,177,6,0,4,0,429,0,0
Sullivan County Penitentiary,2007,180,38,0,0,9,3,130,16,0
Tioga County Penitentiary,2007,81,37,2,11,6,1,24,0,6
Tompkins County Penitentiary,2007,68,27,0,0,5,2,35,9,0
Ulster County Penitentiary,2007,254,76,0,0,21,2,155,2,3
Warren County Penitentiary,2007,143,35,3,0,10,1,94,0,25
Washington County Penitentiary,2007,131,20,2,30,7,2,69,0,32
Wayne County Penitentiary,2007,139,46,0,15,11,4,63,8,20
Westchester Annex,2007,62,7,0,7,4,0,44,0,0
Westchester Penitentiary,2007,780,150,0,114,37,13,466,22,9
Westchester Pen,2007,623,260,0,1,33,5,324,3,0
Wyoming County Penitentiary,2007,57,19,0,0,5,0,32,0,1
Yates County Penitentiary,2007,49,18,0,4,3,1,23,0,1
Albany County Penitentiary,2006,831,169,0,66,61,21,514,1,42
Allegany County Penitentiary,2006,40,7,3,0,1,0,30,7,0
Broome County Penitentiary,2006,449,109,0,20,29,12,280,1,6
Cattaraugus County Penitentiary,2006,127,47,0,20,5,2,52,0,0
Cayuga County Penitentiary,2006,173,57,0,31,6,1,79,0,23
Chautauqua County Penitentiary,2006,262,67,0,14,15,3,163,0,0
Chemung County Penitentiary,2006,210,63,0,0,22,2,122,0,2
Chenango County Penitentiary,2006,76,43,1,0,3,1,28,2,16
Clinton County Penitentiary,2006,175,68,2,30,5,1,68,0,13
Columbia County Penitentiary,2006,118,22,2,1,7,1,85,0,13
Cortland County Penitentiary,2006,60,20,3,0,3,2,32,7,0
Delaware County Penitentiary,2006,81,28,3,0,6,0,44,0,17
Dutchess County Penitentiary,2006,251,53,6,1,16,3,173,56,0
Erie County Correctional Facility,2006,935,527,4,0,45,0,360,0,0
Erie County Penitentiary,2006,585,41,1,49,57,14,423,0,0
Erie County Yankee Compound,2006,0,0,0,0,0,0,0,0,0
Essex County Penitentiary,2006,19,8,0,0,0,0,11,15,0
Essex County Sheriff,2006,0,0,0,0,0,0,0,0,0
Franklin County Penitentiary,2006,95,34,2,1,3,1,53,0,1
Fulton County Penitentiary,2006,97,29,3,0,3,1,61,0,9
Genesee County Penitentiary,2006,80,33,0,2,6,2,37,9,1
Greene County Penitentiary,2006,46,10,4,0,3,1,28,11,0
Hamilton County Penitentiary,2006,4,2,0,0,0,0,2,0,0
Herkimer County Penitentiary,2006,34,4,1,0,1,1,27,23,0
Jefferson County Penitentiary,2006,150,37,2,1,8,9,94,10,0
Lewis County Penitentiary,2006,30,7,0,4,2,0,17,0,3
Livingston County Penitentiary,2006,76,30,0,0,5,2,39,9,1
Madison County Penitentiary,2006,100,35,3,20,6,1,35,5,6
Monroe County Correctional Facility,2006,359,327,2,1,9,0,19,0,3
Monroe County Penitentiary,2006,1025,162,0,53,115,24,670,2,5
Montgomery County Penitentiary,2006,120,17,1,34,5,2,62,0,6
Nassau County Correctional Facility,2006,1606,291,2,152,48,15,1097,3,13
Niagara County Penitentiary,2006,460,156,0,76,28,6,195,0,0
Oneida County Penitentiary,2006,441,134,0,38,30,6,233,2,36
Onondaga County Correctional Facility,2006,444,354,4,66,65,0,-45,24,20
Onondaga County Penitentiary,2006,607,25,1,28,20,11,522,20,25
Ontario County Penitentiary,2006,223,84,0,11,10,5,114,0,4
Orange County Penitentiary,2006,590,149,13,1,76,13,339,0,53
Orleans County Penitentiary,2006,77,15,0,0,5,2,55,1,10
Oswego County Penitentiary,2006,135,52,0,0,13,3,67,0,1
Otsego County Penitentiary,2006,68,21,0,0,1,1,45,1,0
Putnam County Penitentiary,2006,111,21,1,20,2,1,65,0,16
Rensselaer County Penitentiary,2006,243,97,6,2,23,4,111,53,1
Rockland County Penitentiary,2006,255,63,0,0,17,5,170,8,4
Saratoga County Penitentiary,2006,155,56,10,0,9,2,78,0,0
Schenectady County Penitentiary,2006,354,62,2,1,28,8,252,13,0
Schoharie County Penitentiary,2006,48,20,1,1,2,2,23,2,18
Schuyler County Penitentiary,2006,23,12,0,0,4,0,8,1,0
Seneca County Penitentiary,2006,42,15,0,0,3,0,24,12,0
Steuben County Penitentiary,2006,149,34,0,7,17,3,88,1,0
St Lawrence County Penitentiary,2006,80,17,0,0,8,1,55,34,0
Suffolk Correctional Facility - Riverhead,2006,929,245,7,1,69,35,573,86,7
Suffolk Correctional Facility - Yaphank,2006,593,202,11,0,0,0,379,0,0
Sullivan County Penitentiary,2006,185,48,0,0,14,4,119,17,0
Tioga County Penitentiary,2006,89,38,2,9,7,1,32,0,21
Tompkins County Penitentiary,2006,70,26,0,0,6,1,37,21,0
Ulster County Penitentiary,2006,240,71,0,0,31,3,134,21,0
Warren County Penitentiary,2006,151,38,2,0,8,1,102,0,18
Washington County Penitentiary,2006,136,33,3,17,6,1,75,1,45
Wayne County Penitentiary,2006,140,39,0,9,16,4,72,8,17
Westchester Annex,2006,60,6,0,1,1,0,51,0,0
Westchester Penitentiary,2006,858,168,0,128,42,15,504,19,10
Westchester Pen,2006,549,235,0,1,29,5,280,2,0
Wyoming County Penitentiary,2006,57,19,0,0,4,1,34,0,3
Yates County Penitentiary,2006,58,22,1,5,4,1,26,1,0
Albany County Penitentiary,2005,786,170,0,67,65,13,472,1,60
Allegany County Penitentiary,2005,40,9,3,0,1,0,26,15,0
Broome County Penitentiary,2005,412,109,0,9,30,14,250,1,8
Cattaraugus County Penitentiary,2005,117,47,0,20,4,2,43,0,0
Cayuga County Penitentiary,2005,163,67,0,28,4,2,62,0,12
Chautauqua County Penitentiary,2005,264,48,0,19,15,5,177,0,1
Chemung County Penitentiary,2005,205,65,0,0,22,3,115,1,14
Chenango County Penitentiary,2005,51,19,2,0,2,1,27,3,0
Clinton County Penitentiary,2005,130,54,1,9,4,2,60,5,1
Columbia County Penitentiary,2005,116,27,1,3,5,1,78,0,13
Cortland County Penitentiary,2005,54,22,1,0,2,1,27,4,0
Delaware County Penitentiary,2005,63,29,2,0,4,1,27,0,13
Dutchess County Penitentiary,2005,268,53,4,0,19,3,189,59,0
Erie County Correctional Facility,2005,919,493,0,0,79,0,347,0,0
Erie County Penitentiary,2005,544,65,1,57,30,17,373,0,0
Erie County Yankee Compound,2005,0,0,0,0,0,0,0,0,0
Essex County Penitentiary,2005,19,9,0,0,1,0,10,19,0
Essex County Sheriff,2005,0,0,0,0,0,0,0,0,0
Franklin County Penitentiary,2005,90,35,4,1,2,1,47,0,2
Fulton County Penitentiary,2005,92,25,7,0,3,1,56,1,8
Genesee County Penitentiary,2005,69,24,0,4,5,2,33,6,1
Greene County Penitentiary,2005,46,16,2,0,3,2,23,14,0
Hamilton County Penitentiary,2005,4,2,0,0,0,0,2,0,0
Herkimer County Penitentiary,2005,36,6,1,0,2,2,26,23,0
Jefferson County Penitentiary,2005,135,40,2,5,7,3,77,3,0
Lewis County Penitentiary,2005,31,10,0,0,1,1,20,0,3
Livingston County Penitentiary,2005,87,38,0,0,2,2,46,11,2
Madison County Penitentiary,2005,95,35,2,17,5,1,35,4,4
Monroe County Correctional Facility,2005,357,332,2,1,8,0,13,0,2
Monroe County Penitentiary,2005,984,141,0,37,97,28,681,1,7
Montgomery County Penitentiary,2005,117,15,1,27,4,1,69,0,9
Nassau County Correctional Facility,2005,1553,297,3,212,46,16,979,4,8
Niagara County Penitentiary,2005,477,138,0,86,27,7,218,0,0
Oneida County Penitentiary,2005,444,140,0,30,30,9,235,2,27
Onondaga County Correctional Facility,2005,412,313,7,32,0,0,60,21,60
Onondaga County Penitentiary,2005,627,27,2,42,64,12,480,60,23
Ontario County Penitentiary,2005,215,89,0,13,9,4,101,0,14
Orange County Penitentiary,2005,598,179,13,2,55,14,335,1,101
Orleans County Penitentiary,2005,67,14,0,0,5,1,48,1,8
Oswego County Penitentiary,2005,134,52,0,0,10,2,71,0,1
Otsego County Penitentiary,2005,64,18,0,0,1,1,43,0,3
Putnam County Penitentiary,2005,108,27,1,18,1,1,60,0,30
Rensselaer County Penitentiary,2005,245,83,6,1,24,5,127,74,2
Rockland County Penitentiary,2005,255,66,0,0,10,4,173,2,3
Saratoga County Penitentiary,2005,150,52,8,0,7,2,81,0,0
Schenectady County Penitentiary,2005,339,66,2,7,28,8,228,7,0
Schoharie County Penitentiary,2005,44,13,2,4,2,1,22,2,12
Schuyler County Penitentiary,2005,22,10,0,0,3,0,9,2,5
Seneca County Penitentiary,2005,40,19,0,0,2,1,18,6,0
Steuben County Penitentiary,2005,162,34,0,5,18,2,103,20,0
St Lawrence County Penitentiary,2005,79,24,0,0,6,1,47,15,0
Suffolk Correctional Facility - Riverhead,2005,881,274,9,0,83,35,480,74,6
Suffolk Correctional Facility - Yaphank,2005,506,195,10,0,0,0,301,0,0
Sullivan County Penitentiary,2005,188,49,0,0,12,3,123,2,0
Tioga County Penitentiary,2005,84,32,1,8,5,1,36,0,20
Tompkins County Penitentiary,2005,63,24,0,0,6,2,32,8,0
Ulster County Penitentiary,2005,241,91,0,0,22,3,126,29,0
Warren County Penitentiary,2005,141,37,2,0,11,1,90,0,24
Washington County Penitentiary,2005,105,34,1,8,4,1,57,0,33
Wayne County Penitentiary,2005,137,51,0,4,8,4,70,6,9
Westchester Annex,2005,41,4,0,0,1,0,36,0,0
Westchester Penitentiary,2005,886,163,0,150,40,16,517,21,9
Westchester Pen,2005,546,245,0,0,31,3,267,0,0
Wyoming County Penitentiary,2005,60,20,0,0,2,1,38,0,7
Yates County Penitentiary,2005,54,15,0,12,2,1,23,0,1
Albany County Penitentiary,2004,870,206,0,62,55,12,536,1,92
Allegany County Penitentiary,2004,38,10,4,0,1,0,23,8,0
Broome County Penitentiary,2004,402,109,0,17,28,11,237,2,6
Cattaraugus County Penitentiary,2004,112,47,0,8,4,3,50,0,1
Cayuga County Penitentiary,2004,167,69,0,30,7,2,60,0,6
Chautauqua County Penitentiary,2004,253,50,0,31,13,3,156,0,1
Chemung County Penitentiary,2004,201,76,0,0,16,2,106,1,7
Chenango County Penitentiary,2004,54,26,2,0,3,2,21,7,0
Clinton County Penitentiary,2004,114,46,1,3,6,2,56,2,2
Columbia County Penitentiary,2004,115,30,0,3,5,1,75,1,22
Cortland County Penitentiary,2004,60,24,2,0,3,1,29,6,1
Delaware County Penitentiary,2004,59,30,2,0,5,0,22,0,4
Dutchess County Penitentiary,2004,301,66,4,0,23,1,206,27,1
Erie County Correctional Facility,2004,926,527,0,0,87,0,312,0,0
Erie County Penitentiary,2004,578,40,1,60,40,16,421,0,0
Erie County Yankee Compound,2004,0,0,0,0,0,0,0,0,0
Essex County Penitentiary,2004,19,9,0,0,1,0,8,16,0
Essex County Sheriff,2004,0,0,0,0,0,0,0,0,0
Franklin County Penitentiary,2004,96,40,3,3,3,1,46,0,1
Fulton County Penitentiary,2004,94,32,7,0,5,1,49,0,12
Genesee County Penitentiary,2004,79,26,0,1,7,2,42,6,0
Greene County Penitentiary,2004,47,13,1,0,3,1,30,11,0
Hamilton County Penitentiary,2004,3,2,0,0,0,0,2,0,0
Herkimer County Penitentiary,2004,48,8,1,0,2,1,36,22,0
Jefferson County Penitentiary,2004,128,44,2,4,4,4,70,4,1
Lewis County Penitentiary,2004,28,6,0,2,1,0,19,0,8
Livingston County Penitentiary,2004,90,29,0,0,2,1,57,11,5
Madison County Penitentiary,2004,92,35,2,13,3,1,38,5,10
Monroe County Correctional Facility,2004,360,339,1,1,8,0,12,0,1
Monroe County Penitentiary,2004,992,157,0,51,89,22,672,3,5
Montgomery County Penitentiary,2004,129,15,2,29,5,0,79,1,7
Nassau County Correctional Facility,2004,1616,251,3,243,44,12,1065,9,8
Niagara County Penitentiary,2004,438,113,0,94,19,8,204,0,0
Oneida County Penitentiary,2004,459,162,0,27,30,7,234,1,38
Onondaga County Correctional Facility,2004,414,328,6,35,0,0,45,22,45
Onondaga County Penitentiary,2004,594,26,2,50,57,11,449,25,14
Ontario County Penitentiary,2004,179,83,0,0,6,4,86,0,15
Orange County Penitentiary,2004,585,203,11,0,50,11,310,4,103
Orleans County Penitentiary,2004,71,21,0,0,4,2,45,1,8
Oswego County Penitentiary,2004,132,45,0,0,10,3,73,0,0
Otsego County Penitentiary,2004,67,23,0,0,1,1,41,0,2
Putnam County Penitentiary,2004,104,27,0,20,1,1,55,0,37
Rensselaer County Penitentiary,2004,245,73,5,0,31,5,130,64,1
Rockland County Penitentiary,2004,229,67,0,0,12,4,147,4,2
Saratoga County Penitentiary,2004,163,62,8,0,8,2,84,0,2
Schenectady County Penitentiary,2004,325,55,2,5,21,12,230,2,0
Schoharie County Penitentiary,2004,59,12,1,21,2,1,22,2,14
Schuyler County Penitentiary,2004,22,12,0,0,1,0,10,2,2
Seneca County Penitentiary,2004,35,14,0,0,3,0,17,8,0
Steuben County Penitentiary,2004,155,33,1,7,13,2,99,10,0
St Lawrence County Penitentiary,2004,81,30,0,0,5,2,44,11,1
Suffolk Correctional Facility - Riverhead,2004,896,261,9,1,85,24,516,134,5
Suffolk Correctional Facility - Yaphank,2004,476,177,6,0,0,0,293,0,0
Sullivan County Penitentiary,2004,188,58,0,0,9,2,119,0,0
Tioga County Penitentiary,2004,87,34,1,16,6,1,30,0,9
Tompkins County Penitentiary,2004,69,25,0,0,9,2,33,0,0
Ulster County Penitentiary,2004,242,92,0,0,16,4,130,35,0
Warren County Penitentiary,2004,72,24,3,0,6,2,38,38,1
Washington County Penitentiary,2004,117,32,2,9,4,1,68,1,34
Wayne County Penitentiary,2004,148,58,0,2,7,4,76,6,5
Westchester Annex,2004,60,20,0,2,1,1,35,0,1
Westchester Penitentiary,2004,827,117,0,114,38,14,544,20,11
Westchester Pen,2004,508,255,0,1,26,2,224,0,0
Wyoming County Penitentiary,2004,53,17,0,0,1,1,34,0,5
Yates County Penitentiary,2004,56,19,0,11,0,1,25,1,0
Albany County Penitentiary,2003,892,211,0,54,45,11,571,2,54
Allegany County Penitentiary,2003,39,10,2,0,2,1,24,10,0
Broome County Penitentiary,2003,397,98,0,15,19,15,251,1,5
Cattaraugus County Penitentiary,2003,126,52,0,7,5,3,60,0,3
Cayuga County Penitentiary,2003,169,56,0,39,5,5,64,0,8
Chautauqua County Penitentiary,2003,243,63,0,28,11,4,136,0,1
Chemung County Penitentiary,2003,184,66,0,0,18,2,97,3,5
Chenango County Penitentiary,2003,52,28,1,0,2,1,20,4,0
Clinton County Penitentiary,2003,118,46,1,7,5,5,54,0,6
Columbia County Penitentiary,2003,110,28,1,3,5,2,72,1,18
Cortland County Penitentiary,2003,59,21,1,0,3,1,33,5,0
Delaware County Penitentiary,2003,27,9,0,0,3,0,14,23,0
Dutchess County Penitentiary,2003,294,62,4,0,23,2,203,16,0
Erie County Correctional Facility,2003,848,510,2,0,81,0,255,0,0
Erie County Penitentiary,2003,536,36,2,67,39,16,376,0,0
Erie County Yankee Compound,2003,0,0,0,0,0,0,0,0,0
Essex County Penitentiary,2003,19,8,0,0,2,0,9,16,0
Essex County Sheriff,2003,0,0,0,0,0,0,0,0,0
Franklin County Penitentiary,2003,97,35,3,5,2,1,51,1,6
Fulton County Penitentiary,2003,90,28,4,0,4,1,52,0,13
Genesee County Penitentiary,2003,69,23,0,5,5,3,35,6,0
Greene County Penitentiary,2003,50,18,0,0,1,1,29,12,0
Hamilton County Penitentiary,2003,4,1,0,0,0,0,2,0,0
Herkimer County Penitentiary,2003,48,9,1,0,3,1,34,14,0
Jefferson County Penitentiary,2003,127,41,6,3,4,6,68,3,1
Lewis County Penitentiary,2003,29,10,0,4,2,0,13,1,3
Livingston County Penitentiary,2003,83,35,0,0,5,1,43,9,3
Madison County Penitentiary,2003,95,33,2,16,2,1,40,6,8
Monroe County Correctional Facility,2003,423,351,0,2,11,1,57,0,6
Monroe County Penitentiary,2003,881,225,0,55,72,18,509,0,1
Montgomery County Penitentiary,2003,131,13,6,26,7,0,78,1,9
Nassau County Correctional Facility,2003,1648,271,2,210,50,13,1102,22,9
Niagara County Penitentiary,2003,370,123,0,65,21,14,147,0,0
Oneida County Penitentiary,2003,422,142,0,27,33,6,213,0,47
Onondaga County Correctional Facility,2003,367,327,7,26,0,0,7,14,7
Onondaga County Penitentiary,2003,529,18,1,52,54,7,397,1,0
Ontario County Penitentiary,2003,162,76,0,0,6,5,76,1,0
Orange County Penitentiary,2003,471,138,10,0,51,12,260,1,26
Orleans County Penitentiary,2003,73,24,0,0,2,2,45,1,8
Oswego County Penitentiary,2003,118,37,0,0,6,2,72,0,1
Otsego County Penitentiary,2003,69,21,0,0,2,2,44,0,8
Putnam County Penitentiary,2003,104,20,0,28,1,1,53,0,25
Rensselaer County Penitentiary,2003,250,74,8,0,35,4,128,57,2
Rockland County Penitentiary,2003,236,66,0,0,9,6,154,4,1
Saratoga County Penitentiary,2003,177,70,8,0,9,4,86,0,4
Schenectady County Penitentiary,2003,343,58,2,10,21,14,238,1,3
Schoharie County Penitentiary,2003,67,20,3,16,0,0,28,2,21
Schuyler County Penitentiary,2003,18,7,0,0,1,0,10,1,2
Seneca County Penitentiary,2003,39,13,0,0,2,1,23,8,1
Steuben County Penitentiary,2003,145,30,1,8,11,3,92,1,1
St Lawrence County Penitentiary,2003,82,30,0,0,4,3,46,14,0
Suffolk Correctional Facility - Riverhead,2003,905,308,7,2,79,25,483,27,9
Suffolk Correctional Facility - Yaphank,2003,547,250,6,0,0,0,291,0,0
Sullivan County Penitentiary,2003,170,45,0,0,8,2,114,0,0
Tioga County Penitentiary,2003,83,38,1,8,5,1,29,0,13
Tompkins County Penitentiary,2003,76,28,0,0,8,3,37,0,0
Ulster County Penitentiary,2003,233,91,0,0,17,3,122,17,0
Warren County Penitentiary,2003,64,22,1,0,2,2,36,32,0
Washington County Penitentiary,2003,80,29,1,1,5,1,42,4,9
Wayne County Penitentiary,2003,137,48,0,0,9,3,77,6,5
Westchester Annex,2003,121,39,0,6,2,1,73,0,1
Westchester Penitentiary,2003,826,99,0,92,35,19,582,18,9
Westchester Pen,2003,430,203,0,0,14,0,212,0,0
Wyoming County Penitentiary,2003,52,14,0,0,1,0,36,0,6
Yates County Penitentiary,2003,50,15,0,12,1,1,19,0,0
Albany County Penitentiary,2002,892,211,0,54,45,11,571,2,54
Allegany County Penitentiary,2002,39,10,2,0,2,1,24,10,0
Broome County Penitentiary,2002,397,98,0,15,19,15,251,1,5
Cattaraugus County Penitentiary,2002,127,51,0,0,6,4,66,0,12
Cayuga County Penitentiary,2002,154,55,0,17,8,6,68,1,8
Chautauqua County Penitentiary,2002,243,55,0,19,16,7,146,0,0
Chemung County Penitentiary,2002,188,68,0,0,20,5,95,4,1
Chenango County Penitentiary,2002,55,29,2,0,2,3,20,9,0
Clinton County Penitentiary,2002,109,53,0,5,5,1,45,0,8
Columbia County Penitentiary,2002,120,27,1,3,7,2,79,0,26
Cortland County Penitentiary,2002,50,22,3,0,2,3,20,4,0
Delaware County Penitentiary,2002,24,9,1,0,2,0,12,15,0
